year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,5,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",92.00,17.00,4.80,1.24,4.29,0.00,6.67,4.00,2.00,1834.00,517.00,555.00,283.00,0.00,479.00
2025,5,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",92.00,24.00,10.74,3.65,4.57,0.00,5.03,2.00,1.00,2080.00,615.00,917.00,186.00,0.00,362.00
2025,5,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",188.00,52.00,17.87,1.49,12.97,0.00,19.67,4.00,1.00,4132.00,956.00,538.00,898.00,0.00,1740.00
2025,5,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",83.00,26.00,6.01,0.00,2.88,0.00,17.11,4.00,0.00,1975.00,857.00,0.00,83.00,0.00,1035.00
2025,5,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3118.00,785.00,146.76,26.61,200.27,0.00,411.36,43.00,8.00,67705.00,19313.00,3384.00,10047.00,0.00,34961.00
2025,5,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",12.00,1.00,0.61,0.00,0.39,0.00,0.00,0.00,0.00,18.00,11.00,0.00,7.00,0.00,0.00
2025,5,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",75.00,28.00,8.99,0.65,14.54,0.00,3.83,1.00,0.00,1771.00,577.00,40.00,595.00,0.00,559.00
2025,5,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",139.00,30.00,10.53,1.65,8.43,0.00,9.39,5.00,0.00,3324.00,585.00,1062.00,622.00,0.00,1055.00
2025,5,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",6.00,1.00,0.83,0.00,0.17,0.00,0.00,0.00,0.00,139.00,115.00,0.00,24.00,0.00,0.00
2025,5,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",92.00,19.00,2.17,0.00,3.88,0.75,12.20,1.00,0.00,1194.00,172.00,0.00,147.00,21.00,854.00
2025,5,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",132.00,43.00,9.66,0.00,16.44,0.00,16.90,5.00,1.00,2838.00,558.00,0.00,1151.00,0.00,1129.00
2025,5,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",81.00,10.00,4.23,0.22,0.21,0.00,5.34,0.00,0.00,698.00,304.00,5.00,26.00,0.00,363.00
